DateTime,Probe.11,Probe.12,Probe.13,Probe.14,Probe.15,Probe.16,Probe.17,Probe.18
3/07/2012 14:40,283.5,138.8,112.7,67.72,103.7,147.3,207.8,104.4
3/07/2012 14:50,292.7,142.5,112.6,69.57,105.6,149.1,530,108.2
3/07/2012 15:00,530,142.5,116.4,71.45,105.6,154.7,530,110
3/07/2012 15:10,530,142.5,116.4,71.45,105.6,162.2,530,110
3/07/2012 15:20,300.2,140.7,118.3,73.33,107.5,167.9,530,111.9
3/07/2012 15:30,283.4,144.4,118.3,73.33,109.4,169.8,530,111.9
3/07/2012 15:40,287.1,142.5,118.3,75.22,111.2,184.8,230.2,115.7
3/07/2012 15:50,290.9,146.3,125.8,77.1,116.9,198,203.9,119.5
3/07/2012 16:00,294.6,144.4,123.9,78.98,116.9,194.3,237.7,121.3
3/07/2012 16:10,268.3,150.1,127.7,82.7,126.3,214.9,200.1,125.1
3/07/2012 16:20,283.4,157.6,137.1,90.3,137.6,277,215.2,143.9
3/07/2012 16:30,332.3,167,142.8,95.9,147,318.4,301.7,155.3
3/07/2012 16:40,356.7,182.1,156,109.1,160.2,530,530,194.8
3/07/2012 16:50,396.2,206.6,178.6,135.5,184.7,468.8,530,217.4
3/07/2012 17:00,530,227.3,188,148.7,194.1,339.2,530,277.6
3/07/2012 17:10,530,530,218.1,186.3,231.8,337.5,530,530
3/07/2012 17:20,530,530,250.1,233.4,256.2,350.6,530,530
3/07/2012 17:30,530,530,316.1,284.3,309,397.7,530,530
3/07/2012 17:40,530,530,319.8,327.6,318.4,422.2,530,530
3/07/2012 17:50,530,530,308.5,346.4,376.8,435.4,530,530
3/07/2012 18:00,530,530,316.1,530,530,409.1,530,524.4
3/07/2012 18:10,530,530,530,530,530,467.4,530,530
3/07/2012 18:20,509.6,530,530,530,530,491.9,530,530
3/07/2012 18:30,530,530,530,530,530,505.1,530,530
3/07/2012 18:40,530,530,530,506.5,530,478.7,530,530
3/07/2012 18:50,530,530,391.4,476.4,491.7,527.7,530,530
3/07/2012 19:00,502.1,530,530,461.3,530,530,530,530
3/07/2012 19:10,470,530,530,480.2,530,523.9,518.5,530
3/07/2012 19:20,477.6,423.2,530,506.5,530,493.8,494,505.5
3/07/2012 19:30,515.2,530,436.6,508.4,530,530,526,530
3/07/2012 19:40,530,370.4,530,480.1,471,512.6,524.2,530
3/07/2012 19:50,530,361,382,463.2,530,507,530,503.7
3/07/2012 20:00,513.3,404.3,395.2,523.5,530,525.8,530,530
3/07/2012 20:10,530,410,380.1,530,435.2,530,530,530
3/07/2012 20:20,530,530,406.5,530,530,533.3,530,530
3/07/2012 20:30,530,530,530,530,530,530,530,530
3/07/2012 20:40,530,530,530,530,530,523.9,530,530
3/07/2012 20:50,513.3,434.5,530,451.9,440.8,530,530,530
3/07/2012 21:00,530,530,530,508.4,530,530,530,530
3/07/2012 21:10,513.4,470.3,530,530,530,530,530,530
3/07/2012 21:20,530,447.7,402.7,530,530,530,530,530
3/07/2012 21:30,507.7,530,530,530,530,510.8,530,528.2
3/07/2012 21:40,530,530,530,510.3,530,456.1,530,473.5
3/07/2012 21:50,530,530,517.6,530,530,530,530,530
3/07/2012 22:00,530,530,530,527.2,525.6,508.9,530,530
3/07/2012 22:10,530.3,530,530,531,457.8,501.3,530,530
3/07/2012 22:20,511.5,398.7,468.6,530,530,530,530,530
3/07/2012 22:30,530,530,530,530,530,530,530,530
3/07/2012 22:40,530,530,530,530,530,530,530,530
3/07/2012 22:50,530,530,530,530,530,530,530,530
3/07/2012 23:00,517.1,530,530,530,530,530,530,530
3/07/2012 23:10,530,530,530,530,530,530,530,530
3/07/2012 23:20,530,485.3,468.6,530,530,503.2,530,530
3/07/2012 23:30,526.5,530,466.7,530,530,530,530,530
3/07/2012 23:40,530,530,530,530,530,530,530,530
3/07/2012 23:50,522.8,530,470.5,530,530,530,530,530
4/07/2012 0:00,530,530,421.5,530,530,530,530,530
4/07/2012 0:10,530,530,530,530,530,530,530,530
4/07/2012 0:20,500.2,524.9,530,530,530,530,530,530
4/07/2012 0:30,530,530,530,530,530,530,530,530
4/07/2012 0:40,520.9,494.7,530,530,530,530,530,530
4/07/2012 0:50,530,530,530,530,530,530,530,530
4/07/2012 1:00,530,530,474.3,530,530,531.5,530,513.1
4/07/2012 1:10,530,530,453.5,530,530,507,530,530
4/07/2012 1:20,530,524.9,530,530,530,531.5,530,530
4/07/2012 1:30,530,530,530,530,530,530,530,530
4/07/2012 1:40,530,498.5,530,530,530,530,530,530
4/07/2012 1:50,517.1,460.8,530,530,530,530,530,530
